Year,Team,RMAC_Wins,RMAC_Losses,RMAC_Pct,Overall_Wins,Overall_Losses,PCT
2024,Colorado Mesa,41,3,0.932,46,11,0.807
2024,Colorado Christian,40,5,0.889,51,10,0.836
2024,MSU Denver,34,11,0.756,44,18,0.71
2024,Colorado School of Mines,25,17,0.595,29,23,0.558
2024,Regis,24,18,0.571,34,26,0.567
2024,CSU Pueblo,20,24,0.455,22,35,0.386
2024,Fort Lewis,15,23,0.395,17,30,0.362
2024,UCCS,16,26,0.381,19,32,0.373
2024,Black Hills State,14,28,0.333,15,32,0.319
2024,Chadron State,12,28,0.3,12,38,0.24
2024,New Mexico Highlands,12,30,0.286,16,31,0.34
2024,Adams State,3,41,0.068,5,48,0.094